Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,438493,0.013028,0.012053,0.000976
gauss_seidel (fixed ω=1.000),2,185821,0.006474,0.006424,0.000050
gauss_seidel (fixed ω=1.000),3,74397,0.005565,0.005860,0.000296
gauss_seidel (fixed ω=1.000),4,32163,0.004930,0.005095,0.000165
gauss_seidel (fixed ω=1.000),5,877491,0.004137,0.003619,0.000518
gauss_seidel (fixed ω=1.000),6,597621,0.004123,0.004132,0.000009
gauss_seidel (fixed ω=1.000),7,823296,0.003825,0.003166,0.000659
gauss_seidel (fixed ω=1.000),8,455062,0.003703,0.003317,0.000386
gauss_seidel (fixed ω=1.000),9,30115,0.003703,0.003317,0.000386
gauss_seidel (fixed ω=1.000),10,232639,0.003527,0.003393,0.000134
gauss_seidel (fixed ω=1.100),1,438493,0.012930,0.012053,0.000878
gauss_seidel (fixed ω=1.100),2,185821,0.006425,0.006424,0.000001
gauss_seidel (fixed ω=1.100),3,178266,0.005814,0.000478,0.005335
gauss_seidel (fixed ω=1.100),4,368260,0.005757,0.000478,0.005279
gauss_seidel (fixed ω=1.100),5,74397,0.005523,0.005860,0.000338
gauss_seidel (fixed ω=1.100),6,32163,0.004893,0.005095,0.000202
gauss_seidel (fixed ω=1.100),7,877491,0.004106,0.003619,0.000487
gauss_seidel (fixed ω=1.100),8,597621,0.004092,0.004132,0.000040
gauss_seidel (fixed ω=1.100),9,823296,0.003796,0.003166,0.000630
gauss_seidel (fixed ω=1.100),10,455062,0.003675,0.003317,0.000358
gauss_seidel (fixed ω=1.200),1,178266,0.677510,0.000478,0.677032
gauss_seidel (fixed ω=1.200),2,368260,0.567108,0.000478,0.566630
gauss_seidel (fixed ω=1.200),3,751193,0.404703,0.000252,0.404451
gauss_seidel (fixed ω=1.200),4,438493,0.000000,0.012053,0.012053
gauss_seidel (fixed ω=1.200),5,185821,0.000000,0.006424,0.006424
gauss_seidel (fixed ω=1.200),6,74397,0.000000,0.005860,0.005860
gauss_seidel (fixed ω=1.200),7,32163,0.000000,0.005095,0.005095
gauss_seidel (fixed ω=1.200),8,877491,0.000000,0.003619,0.003619
gauss_seidel (fixed ω=1.200),9,597621,0.000000,0.004132,0.004132
gauss_seidel (fixed ω=1.200),10,823296,0.000000,0.003166,0.003166
gauss_seidel (fixed ω=1.225),1,178266,0.677532,0.000478,0.677054
gauss_seidel (fixed ω=1.225),2,368260,0.549493,0.000478,0.549015
gauss_seidel (fixed ω=1.225),3,751193,0.417703,0.000252,0.417452
gauss_seidel (fixed ω=1.225),4,438493,0.000000,0.012053,0.012053
gauss_seidel (fixed ω=1.225),5,185821,0.000000,0.006424,0.006424
gauss_seidel (fixed ω=1.225),6,74397,0.000000,0.005860,0.005860
gauss_seidel (fixed ω=1.225),7,32163,0.000000,0.005095,0.005095
gauss_seidel (fixed ω=1.225),8,877491,0.000000,0.003619,0.003619
gauss_seidel (fixed ω=1.225),9,597621,0.000000,0.004132,0.004132
gauss_seidel (fixed ω=1.225),10,823296,0.000000,0.003166,0.003166
gauss_seidel (fixed ω=1.235),1,178266,0.677385,0.000478,0.676907
gauss_seidel (fixed ω=1.235),2,368260,0.542712,0.000478,0.542235
gauss_seidel (fixed ω=1.235),3,751193,0.422738,0.000252,0.422487
gauss_seidel (fixed ω=1.235),4,438493,0.000000,0.012053,0.012053
gauss_seidel (fixed ω=1.235),5,185821,0.000000,0.006424,0.006424
gauss_seidel (fixed ω=1.235),6,74397,0.000000,0.005860,0.005860
gauss_seidel (fixed ω=1.235),7,32163,0.000000,0.005095,0.005095
gauss_seidel (fixed ω=1.235),8,877491,0.000000,0.003619,0.003619
gauss_seidel (fixed ω=1.235),9,597621,0.000000,0.004132,0.004132
gauss_seidel (fixed ω=1.235),10,823296,0.000000,0.003166,0.003166
gauss_seidel (fixed ω=1.245),1,178266,0.677157,0.000478,0.676679
gauss_seidel (fixed ω=1.245),2,368260,0.536077,0.000478,0.535599
gauss_seidel (fixed ω=1.245),3,751193,0.427683,0.000252,0.427432
gauss_seidel (fixed ω=1.245),4,438493,0.000000,0.012053,0.012053
gauss_seidel (fixed ω=1.245),5,185821,0.000000,0.006424,0.006424
gauss_seidel (fixed ω=1.245),6,74397,0.000000,0.005860,0.005860
gauss_seidel (fixed ω=1.245),7,32163,0.000000,0.005095,0.005095
gauss_seidel (fixed ω=1.245),8,877491,0.000000,0.003619,0.003619
gauss_seidel (fixed ω=1.245),9,597621,0.000000,0.004132,0.004132
gauss_seidel (fixed ω=1.245),10,823296,0.000000,0.003166,0.003166
gauss_seidel (dynamic ω),1,438493,0.013028,0.012053,0.000976
gauss_seidel (dynamic ω),2,185821,0.006474,0.006424,0.000050
gauss_seidel (dynamic ω),3,74397,0.005564,0.005860,0.000296
gauss_seidel (dynamic ω),4,32163,0.004930,0.005095,0.000165
gauss_seidel (dynamic ω),5,877491,0.004137,0.003619,0.000518
gauss_seidel (dynamic ω),6,597621,0.004123,0.004132,0.000009
gauss_seidel (dynamic ω),7,823296,0.003825,0.003166,0.000659
gauss_seidel (dynamic ω),8,455062,0.003703,0.003317,0.000386
gauss_seidel (dynamic ω),9,30115,0.003703,0.003317,0.000386
gauss_seidel (dynamic ω),10,232639,0.003527,0.003393,0.000134
