Algorithm,Rank,Node,Score,NetworkX Score,Difference
power,1,438493,0.026904,0.026663,0.000241
power,2,877491,0.008563,0.008459,0.000104
power,3,823296,0.007949,0.007804,0.000145
power,4,455062,0.007656,0.007571,0.000085
power,5,30115,0.007656,0.007571,0.000085
power,6,867923,0.005736,0.005760,0.000024
power,7,11342,0.005651,0.005674,0.000024
power,8,0,0.005570,0.005596,0.000026
power,9,891835,0.005431,0.005453,0.000022
power,10,232639,0.004848,0.004848,0.000001
gauss_seidel,1,438493,0.026902,0.026663,0.000239
gauss_seidel,2,877491,0.008563,0.008459,0.000104
gauss_seidel,3,823296,0.007948,0.007804,0.000144
gauss_seidel,4,455062,0.007656,0.007571,0.000085
gauss_seidel,5,30115,0.007656,0.007571,0.000085
gauss_seidel,6,867923,0.005735,0.005760,0.000024
gauss_seidel,7,11342,0.005650,0.005674,0.000024
gauss_seidel,8,0,0.005570,0.005596,0.000026
gauss_seidel,9,891835,0.005431,0.005453,0.000023
gauss_seidel,10,232639,0.004847,0.004848,0.000001
gmres_solver,1,438493,0.026904,0.026663,0.000241
gmres_solver,2,877491,0.008563,0.008459,0.000104
gmres_solver,3,823296,0.007949,0.007804,0.000145
gmres_solver,4,455062,0.007656,0.007571,0.000085
gmres_solver,5,30115,0.007656,0.007571,0.000085
gmres_solver,6,867923,0.005736,0.005760,0.000024
gmres_solver,7,11342,0.005651,0.005674,0.000024
gmres_solver,8,0,0.005570,0.005596,0.000026
gmres_solver,9,891835,0.005431,0.005453,0.000022
gmres_solver,10,232639,0.004848,0.004848,0.000001
direct_lu,1,438493,0.026904,0.026663,0.000241
direct_lu,2,877491,0.008563,0.008459,0.000104
direct_lu,3,823296,0.007949,0.007804,0.000145
direct_lu,4,455062,0.007656,0.007571,0.000085
direct_lu,5,30115,0.007656,0.007571,0.000085
direct_lu,6,867923,0.005736,0.005760,0.000024
direct_lu,7,11342,0.005651,0.005674,0.000024
direct_lu,8,0,0.005570,0.005596,0.000026
direct_lu,9,891835,0.005431,0.005453,0.000022
direct_lu,10,232639,0.004848,0.004848,0.000001
