Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (ω=1.000),1,438493,0.019343,0.018064,0.001279
gauss_seidel (ω=1.000),2,232639,0.007010,0.006890,0.000120
gauss_seidel (ω=1.000),3,877491,0.006155,0.005582,0.000572
gauss_seidel (ω=1.000),4,823296,0.005709,0.005002,0.000707
gauss_seidel (ω=1.000),5,455062,0.005503,0.005034,0.000469
gauss_seidel (ω=1.000),6,30115,0.005503,0.005034,0.000469
gauss_seidel (ω=1.000),7,605856,0.004547,0.004756,0.000209
gauss_seidel (ω=1.000),8,185821,0.004355,0.004425,0.000070
gauss_seidel (ω=1.000),9,74397,0.004347,0.004969,0.000622
gauss_seidel (ω=1.000),10,887268,0.004154,0.004061,0.000092
gauss_seidel (ω=1.100),1,438493,0.019343,0.018064,0.001279
gauss_seidel (ω=1.100),2,232639,0.007010,0.006890,0.000120
gauss_seidel (ω=1.100),3,877491,0.006154,0.005582,0.000572
gauss_seidel (ω=1.100),4,823296,0.005709,0.005002,0.000707
gauss_seidel (ω=1.100),5,455062,0.005503,0.005034,0.000469
gauss_seidel (ω=1.100),6,30115,0.005503,0.005034,0.000469
gauss_seidel (ω=1.100),7,605856,0.004547,0.004756,0.000209
gauss_seidel (ω=1.100),8,185821,0.004355,0.004425,0.000070
gauss_seidel (ω=1.100),9,74397,0.004347,0.004969,0.000622
gauss_seidel (ω=1.100),10,887268,0.004154,0.004061,0.000092
gauss_seidel (ω=1.200),1,438493,0.019342,0.018064,0.001278
gauss_seidel (ω=1.200),2,232639,0.007009,0.006890,0.000120
gauss_seidel (ω=1.200),3,877491,0.006154,0.005582,0.000572
gauss_seidel (ω=1.200),4,823296,0.005709,0.005002,0.000707
gauss_seidel (ω=1.200),5,455062,0.005503,0.005034,0.000469
gauss_seidel (ω=1.200),6,30115,0.005503,0.005034,0.000469
gauss_seidel (ω=1.200),7,605856,0.004547,0.004756,0.000209
gauss_seidel (ω=1.200),8,185821,0.004355,0.004425,0.000070
gauss_seidel (ω=1.200),9,74397,0.004347,0.004969,0.000622
gauss_seidel (ω=1.200),10,887268,0.004153,0.004061,0.000092
gauss_seidel (ω=1.225),1,438493,0.019342,0.018064,0.001278
gauss_seidel (ω=1.225),2,232639,0.007009,0.006890,0.000120
gauss_seidel (ω=1.225),3,877491,0.006154,0.005582,0.000572
gauss_seidel (ω=1.225),4,823296,0.005709,0.005002,0.000707
gauss_seidel (ω=1.225),5,455062,0.005503,0.005034,0.000469
gauss_seidel (ω=1.225),6,30115,0.005503,0.005034,0.000469
gauss_seidel (ω=1.225),7,605856,0.004547,0.004756,0.000209
gauss_seidel (ω=1.225),8,185821,0.004355,0.004425,0.000070
gauss_seidel (ω=1.225),9,74397,0.004347,0.004969,0.000622
gauss_seidel (ω=1.225),10,887268,0.004153,0.004061,0.000092
gauss_seidel (ω=1.250),1,438493,0.019342,0.018064,0.001278
gauss_seidel (ω=1.250),2,232639,0.007009,0.006890,0.000120
gauss_seidel (ω=1.250),3,877491,0.006154,0.005582,0.000572
gauss_seidel (ω=1.250),4,823296,0.005709,0.005002,0.000707
gauss_seidel (ω=1.250),5,455062,0.005503,0.005034,0.000469
gauss_seidel (ω=1.250),6,30115,0.005503,0.005034,0.000469
gauss_seidel (ω=1.250),7,605856,0.004547,0.004756,0.000209
gauss_seidel (ω=1.250),8,185821,0.004355,0.004425,0.000070
gauss_seidel (ω=1.250),9,74397,0.004347,0.004969,0.000622
gauss_seidel (ω=1.250),10,887268,0.004153,0.004061,0.000092
gauss_seidel (ω=1.275),1,438493,0.019336,0.018064,0.001272
gauss_seidel (ω=1.275),2,232639,0.007007,0.006890,0.000117
gauss_seidel (ω=1.275),3,877491,0.006152,0.005582,0.000570
gauss_seidel (ω=1.275),4,823296,0.005707,0.005002,0.000705
gauss_seidel (ω=1.275),5,455062,0.005502,0.005034,0.000467
gauss_seidel (ω=1.275),6,30115,0.005502,0.005034,0.000467
gauss_seidel (ω=1.275),7,605856,0.004546,0.004756,0.000210
gauss_seidel (ω=1.275),8,185821,0.004354,0.004425,0.000071
gauss_seidel (ω=1.275),9,74397,0.004346,0.004969,0.000623
gauss_seidel (ω=1.275),10,887268,0.004152,0.004061,0.000091
gauss_seidel,1,438493,0.019343,0.018064,0.001278
gauss_seidel,2,232639,0.007010,0.006890,0.000120
gauss_seidel,3,877491,0.006154,0.005582,0.000572
gauss_seidel,4,823296,0.005709,0.005002,0.000707
gauss_seidel,5,455062,0.005503,0.005034,0.000469
gauss_seidel,6,30115,0.005503,0.005034,0.000469
gauss_seidel,7,605856,0.004547,0.004756,0.000209
gauss_seidel,8,185821,0.004355,0.004425,0.000070
gauss_seidel,9,74397,0.004347,0.004969,0.000622
gauss_seidel,10,887268,0.004154,0.004061,0.000092
