Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,597621,0.000924,0.000918,0.000006
gauss_seidel (fixed ω=1.000),2,41909,0.000921,0.000883,0.000038
gauss_seidel (fixed ω=1.000),3,163075,0.000904,0.000926,0.000022
gauss_seidel (fixed ω=1.000),4,537039,0.000899,0.000900,0.000001
gauss_seidel (fixed ω=1.000),5,384666,0.000787,0.000761,0.000026
gauss_seidel (fixed ω=1.000),6,504140,0.000765,0.000758,0.000007
gauss_seidel (fixed ω=1.000),7,486980,0.000725,0.000757,0.000032
gauss_seidel (fixed ω=1.000),8,605856,0.000718,0.000755,0.000037
gauss_seidel (fixed ω=1.000),9,32163,0.000713,0.000711,0.000001
gauss_seidel (fixed ω=1.000),10,558791,0.000709,0.000726,0.000017
gauss_seidel (fixed ω=1.030),1,597621,0.000924,0.000918,0.000006
gauss_seidel (fixed ω=1.030),2,41909,0.000921,0.000883,0.000038
gauss_seidel (fixed ω=1.030),3,163075,0.000904,0.000926,0.000022
gauss_seidel (fixed ω=1.030),4,537039,0.000899,0.000900,0.000001
gauss_seidel (fixed ω=1.030),5,384666,0.000787,0.000761,0.000026
gauss_seidel (fixed ω=1.030),6,504140,0.000765,0.000758,0.000007
gauss_seidel (fixed ω=1.030),7,486980,0.000725,0.000757,0.000032
gauss_seidel (fixed ω=1.030),8,605856,0.000718,0.000755,0.000037
gauss_seidel (fixed ω=1.030),9,32163,0.000713,0.000711,0.000001
gauss_seidel (fixed ω=1.030),10,558791,0.000709,0.000726,0.000017
gauss_seidel (fixed ω=1.050),1,597621,0.000924,0.000918,0.000006
gauss_seidel (fixed ω=1.050),2,41909,0.000921,0.000883,0.000038
gauss_seidel (fixed ω=1.050),3,163075,0.000904,0.000926,0.000022
gauss_seidel (fixed ω=1.050),4,537039,0.000899,0.000900,0.000001
gauss_seidel (fixed ω=1.050),5,384666,0.000787,0.000761,0.000026
gauss_seidel (fixed ω=1.050),6,504140,0.000765,0.000758,0.000007
gauss_seidel (fixed ω=1.050),7,486980,0.000725,0.000757,0.000032
gauss_seidel (fixed ω=1.050),8,605856,0.000718,0.000755,0.000037
gauss_seidel (fixed ω=1.050),9,32163,0.000713,0.000711,0.000001
gauss_seidel (fixed ω=1.050),10,558791,0.000709,0.000726,0.000017
gauss_seidel (fixed ω=1.080),1,597621,0.000924,0.000918,0.000006
gauss_seidel (fixed ω=1.080),2,41909,0.000921,0.000883,0.000038
gauss_seidel (fixed ω=1.080),3,163075,0.000904,0.000926,0.000022
gauss_seidel (fixed ω=1.080),4,537039,0.000899,0.000900,0.000001
gauss_seidel (fixed ω=1.080),5,384666,0.000787,0.000761,0.000026
gauss_seidel (fixed ω=1.080),6,504140,0.000765,0.000758,0.000007
gauss_seidel (fixed ω=1.080),7,486980,0.000725,0.000757,0.000032
gauss_seidel (fixed ω=1.080),8,605856,0.000718,0.000755,0.000037
gauss_seidel (fixed ω=1.080),9,32163,0.000713,0.000711,0.000001
gauss_seidel (fixed ω=1.080),10,558791,0.000709,0.000726,0.000017
gauss_seidel (dynamic ω),1,597621,0.000924,0.000918,0.000006
gauss_seidel (dynamic ω),2,41909,0.000921,0.000883,0.000038
gauss_seidel (dynamic ω),3,163075,0.000904,0.000926,0.000022
gauss_seidel (dynamic ω),4,537039,0.000899,0.000900,0.000001
gauss_seidel (dynamic ω),5,384666,0.000787,0.000761,0.000026
gauss_seidel (dynamic ω),6,504140,0.000765,0.000758,0.000007
gauss_seidel (dynamic ω),7,486980,0.000725,0.000757,0.000032
gauss_seidel (dynamic ω),8,605856,0.000718,0.000755,0.000037
gauss_seidel (dynamic ω),9,32163,0.000713,0.000711,0.000001
gauss_seidel (dynamic ω),10,558791,0.000709,0.000726,0.000017
