Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,597621,0.000924,0.000924,0.000000
gauss_seidel (fixed ω=1.000),2,41909,0.000921,0.000919,0.000002
gauss_seidel (fixed ω=1.000),3,163075,0.000904,0.000910,0.000006
gauss_seidel (fixed ω=1.000),4,537039,0.000899,0.000900,0.000001
gauss_seidel (fixed ω=1.000),5,384666,0.000787,0.000784,0.000003
gauss_seidel (fixed ω=1.000),6,504140,0.000765,0.000765,0.000000
gauss_seidel (fixed ω=1.000),7,486980,0.000725,0.000737,0.000012
gauss_seidel (fixed ω=1.000),8,605856,0.000718,0.000727,0.000009
gauss_seidel (fixed ω=1.000),9,32163,0.000713,0.000714,0.000002
gauss_seidel (fixed ω=1.000),10,558791,0.000709,0.000718,0.000009
power,1,597621,0.000924,0.000924,0.000000
power,2,41909,0.000921,0.000919,0.000002
power,3,163075,0.000904,0.000910,0.000006
power,4,537039,0.000899,0.000900,0.000001
power,5,384666,0.000787,0.000784,0.000003
power,6,504140,0.000765,0.000765,0.000000
power,7,486980,0.000725,0.000737,0.000012
power,8,605856,0.000718,0.000727,0.000009
power,9,32163,0.000713,0.000714,0.000002
power,10,558791,0.000709,0.000718,0.000009
