Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,272919,0.009457,0.009989,0.000532
gauss_seidel (fixed ω=1.000),2,438238,0.007487,0.007680,0.000193
gauss_seidel (fixed ω=1.000),3,210376,0.005101,0.005516,0.000415
gauss_seidel (fixed ω=1.000),4,210305,0.005017,0.005436,0.000419
gauss_seidel (fixed ω=1.000),5,601656,0.003763,0.003668,0.000095
gauss_seidel (fixed ω=1.000),6,571448,0.003431,0.003700,0.000269
gauss_seidel (fixed ω=1.000),7,316792,0.002678,0.002716,0.000038
gauss_seidel (fixed ω=1.000),8,319209,0.002320,0.002595,0.000275
gauss_seidel (fixed ω=1.000),9,184094,0.002283,0.002467,0.000185
gauss_seidel (fixed ω=1.000),10,401873,0.002263,0.002346,0.000082
gauss_seidel (fixed ω=1.020),1,272919,0.009457,0.009989,0.000532
gauss_seidel (fixed ω=1.020),2,438238,0.007487,0.007680,0.000193
gauss_seidel (fixed ω=1.020),3,210376,0.005101,0.005516,0.000415
gauss_seidel (fixed ω=1.020),4,210305,0.005017,0.005436,0.000419
gauss_seidel (fixed ω=1.020),5,601656,0.003763,0.003668,0.000095
gauss_seidel (fixed ω=1.020),6,571448,0.003431,0.003700,0.000269
gauss_seidel (fixed ω=1.020),7,316792,0.002678,0.002716,0.000038
gauss_seidel (fixed ω=1.020),8,319209,0.002320,0.002595,0.000275
gauss_seidel (fixed ω=1.020),9,184094,0.002283,0.002467,0.000185
gauss_seidel (fixed ω=1.020),10,401873,0.002263,0.002346,0.000082
gauss_seidel (fixed ω=1.040),1,272919,0.009457,0.009989,0.000532
gauss_seidel (fixed ω=1.040),2,438238,0.007487,0.007680,0.000193
gauss_seidel (fixed ω=1.040),3,210376,0.005101,0.005516,0.000415
gauss_seidel (fixed ω=1.040),4,210305,0.005017,0.005436,0.000419
gauss_seidel (fixed ω=1.040),5,601656,0.003763,0.003668,0.000095
gauss_seidel (fixed ω=1.040),6,571448,0.003431,0.003700,0.000269
gauss_seidel (fixed ω=1.040),7,316792,0.002678,0.002716,0.000038
gauss_seidel (fixed ω=1.040),8,319209,0.002320,0.002595,0.000275
gauss_seidel (fixed ω=1.040),9,184094,0.002283,0.002467,0.000185
gauss_seidel (fixed ω=1.040),10,401873,0.002263,0.002346,0.000082
gauss_seidel (fixed ω=1.070),1,272919,0.009457,0.009989,0.000532
gauss_seidel (fixed ω=1.070),2,438238,0.007487,0.007680,0.000193
gauss_seidel (fixed ω=1.070),3,210376,0.005101,0.005516,0.000415
gauss_seidel (fixed ω=1.070),4,210305,0.005017,0.005436,0.000419
gauss_seidel (fixed ω=1.070),5,601656,0.003763,0.003668,0.000095
gauss_seidel (fixed ω=1.070),6,571448,0.003431,0.003700,0.000269
gauss_seidel (fixed ω=1.070),7,316792,0.002678,0.002716,0.000038
gauss_seidel (fixed ω=1.070),8,319209,0.002320,0.002595,0.000275
gauss_seidel (fixed ω=1.070),9,184094,0.002283,0.002467,0.000185
gauss_seidel (fixed ω=1.070),10,401873,0.002263,0.002346,0.000082
gauss_seidel (dynamic ω),1,272919,0.009457,0.009989,0.000532
gauss_seidel (dynamic ω),2,438238,0.007487,0.007680,0.000193
gauss_seidel (dynamic ω),3,210376,0.005101,0.005516,0.000415
gauss_seidel (dynamic ω),4,210305,0.005017,0.005436,0.000419
gauss_seidel (dynamic ω),5,601656,0.003763,0.003668,0.000095
gauss_seidel (dynamic ω),6,571448,0.003431,0.003700,0.000269
gauss_seidel (dynamic ω),7,316792,0.002678,0.002716,0.000038
gauss_seidel (dynamic ω),8,319209,0.002320,0.002595,0.000275
gauss_seidel (dynamic ω),9,184094,0.002283,0.002467,0.000185
gauss_seidel (dynamic ω),10,401873,0.002263,0.002346,0.000082
