Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,1963,0.005474,0.006326,0.000852
gauss_seidel (fixed ω=1.000),2,0,0.005467,0.005809,0.000342
gauss_seidel (fixed ω=1.000),3,10336,0.004978,0.002980,0.001998
gauss_seidel (fixed ω=1.000),4,212843,0.003804,0.002637,0.001167
gauss_seidel (fixed ω=1.000),5,124802,0.003221,0.003374,0.000153
gauss_seidel (fixed ω=1.000),6,12129,0.002711,0.002627,0.000084
gauss_seidel (fixed ω=1.000),7,191267,0.002669,0.002964,0.000295
gauss_seidel (fixed ω=1.000),8,32830,0.002660,0.003055,0.000395
gauss_seidel (fixed ω=1.000),9,83606,0.002394,0.002850,0.000456
gauss_seidel (fixed ω=1.000),10,1973,0.002307,0.002322,0.000015
gauss_seidel (fixed ω=1.025),1,1963,0.005474,0.006326,0.000852
gauss_seidel (fixed ω=1.025),2,0,0.005467,0.005809,0.000342
gauss_seidel (fixed ω=1.025),3,10336,0.004978,0.002980,0.001998
gauss_seidel (fixed ω=1.025),4,212843,0.003804,0.002637,0.001167
gauss_seidel (fixed ω=1.025),5,124802,0.003221,0.003374,0.000153
gauss_seidel (fixed ω=1.025),6,12129,0.002711,0.002627,0.000084
gauss_seidel (fixed ω=1.025),7,191267,0.002669,0.002964,0.000295
gauss_seidel (fixed ω=1.025),8,32830,0.002660,0.003055,0.000395
gauss_seidel (fixed ω=1.025),9,83606,0.002394,0.002850,0.000456
gauss_seidel (fixed ω=1.025),10,1973,0.002307,0.002322,0.000015
gauss_seidel (fixed ω=1.050),1,1963,0.005474,0.006326,0.000852
gauss_seidel (fixed ω=1.050),2,0,0.005467,0.005809,0.000342
gauss_seidel (fixed ω=1.050),3,10336,0.004978,0.002980,0.001998
gauss_seidel (fixed ω=1.050),4,212843,0.003804,0.002637,0.001167
gauss_seidel (fixed ω=1.050),5,124802,0.003221,0.003374,0.000153
gauss_seidel (fixed ω=1.050),6,12129,0.002711,0.002627,0.000084
gauss_seidel (fixed ω=1.050),7,191267,0.002669,0.002964,0.000295
gauss_seidel (fixed ω=1.050),8,32830,0.002660,0.003055,0.000395
gauss_seidel (fixed ω=1.050),9,83606,0.002394,0.002850,0.000456
gauss_seidel (fixed ω=1.050),10,1973,0.002307,0.002322,0.000015
gauss_seidel (fixed ω=1.075),1,1963,0.005474,0.006326,0.000852
gauss_seidel (fixed ω=1.075),2,0,0.005467,0.005809,0.000342
gauss_seidel (fixed ω=1.075),3,10336,0.004978,0.002980,0.001998
gauss_seidel (fixed ω=1.075),4,212843,0.003804,0.002637,0.001167
gauss_seidel (fixed ω=1.075),5,124802,0.003221,0.003374,0.000153
gauss_seidel (fixed ω=1.075),6,12129,0.002711,0.002627,0.000084
gauss_seidel (fixed ω=1.075),7,191267,0.002669,0.002964,0.000295
gauss_seidel (fixed ω=1.075),8,32830,0.002660,0.003055,0.000395
gauss_seidel (fixed ω=1.075),9,83606,0.002394,0.002850,0.000456
gauss_seidel (fixed ω=1.075),10,1973,0.002307,0.002322,0.000015
gauss_seidel (dynamic ω),1,1963,0.005474,0.006326,0.000852
gauss_seidel (dynamic ω),2,0,0.005467,0.005809,0.000342
gauss_seidel (dynamic ω),3,10336,0.004978,0.002980,0.001998
gauss_seidel (dynamic ω),4,212843,0.003804,0.002637,0.001167
gauss_seidel (dynamic ω),5,124802,0.003221,0.003374,0.000153
gauss_seidel (dynamic ω),6,12129,0.002711,0.002627,0.000084
gauss_seidel (dynamic ω),7,191267,0.002669,0.002964,0.000295
gauss_seidel (dynamic ω),8,32830,0.002660,0.003055,0.000395
gauss_seidel (dynamic ω),9,83606,0.002394,0.002850,0.000456
gauss_seidel (dynamic ω),10,1973,0.002307,0.002322,0.000015
